#File	PNG-Size	WebP-Size	WebP-DSSIM	JPEG-Size	JPEG-DSSIM	JPEG-Quality
icons/ZiFY61DY9S3QuWyxdeDyYTx-RiZY1MAVRlxyx17fXj6x_h9Xl0wYzxIe9VQ5h5mLtR0.png	24217	4856	0.0286	4807	0.0194	90
icons/XIfxPyE8SO0TUIS6VRxQIfH-dQpct74AzPuRSDUUrkPMy_7vEUp3Wuu18EqpYIdwew.png	15994	4176	0.0881	6219	0.0809	90
icons/eTuJZ2e4PXjqjLwXwTpmk-PMrji5GRyMNfKDggXU2DPRO09Pag8yoNqL-GHPVzFhYA.png	4707	2726	0.0402	4868	0.0458	95
icons/blCiTIQ2ZB1mTJSO5Iach1A0_DkL69_SuIQsY-xsh7Shvg7y8SxVGCZtzsOQ8WZLkAA.png	11468	3080	0.0395	6060	0.0362	95
icons/HueSk-c94al0Fx1NblgP5HJtayx5rD2qm55CZc8dL-czqt3rSbkxDZtu4Z8bhphC2kw.png	17659	4422	0.0523	8141	0.0514	95
icons/TXYLIjCWzOXTU7wIMbrMcb9_J4f7dU2meB9nZFn1f6INDJHqttU3JGWYhmCJHJ8DZg.png	17804	2328	0.0596	6002	0.058	90
icons/SSrL0_aTQzAXYCEd9k7wsN7a0vzoCUkRyJ5KkoIcCwbZ3DAaNfwFgSRtYK__mqE7iK8.png	14393	1798	0.057	4362	0.0598	90
icons/y8t-mnmTUWuOvnocfMIngY6PuCGz0I54leSpinOWAcFQOwuy7BmRcNyd-BosI0x4n3A-.png	12244	2718	0.1292	5647	0.1288	90
icons/Df7BLJlGUQ8AF4JFgzU04QCaCgy_bQQ2Lgp2i7aRiGQI4W9IVQO9_iYKNO7z2X6E.png	6847	1486	0.03	3185	0.0309	90
icons/xgXy-EFNvJzrIUY34ZvGcQSsam46NgHPdF3eA-R9b9ee_Q3RNMsMjXBNDkjeE4a5vAw.png	25491	2090	0.0536	4436	0.0464	85
icons/vMtenO1DiVvdDTVtswNVyTt6HOWil4e5cIaXpBS0n2aDLj-KnoNO8QbAiCoiG3IdeQ.png	37287	8138	0.1417	9058	0.1404	95
icons/HNRW5zPTW4-0AGKFlYkbnTJc8iWKfkx1oyXd1KRSMh9LDj2l7ma4gotG1JOYFoPZARY1.png	28238	4668	0.1981	8035	0.2042	87
icons/HjnCG6-7rn97yT82IP_CgSytDl7pwPPCzOS7fmK8Av54lEbhyjURAviUUZr8XYmhFo0.png	7364	2564	0.0125	3520	0.0114	90
icons/gblkyiS_EP7n8Kfyoho-Hwv7w7l6HZ09p48vkqhLb1k5EdXSs49G55FPy2V7U5ByKhg.png	29851	5168	0.1808	7527	0.1821	90
icons/VocOosN5lW60GQOE5lYSBasbi326JzPwVAYdLhGijgce612xzWvqho7e9P0vRgA__3o.png	30879	4732	0.1587	8364	0.1558	90
icons/NSc_3x1xlkRM7zD1k4y6o1sdz00q_bikQRM4xTiqOX5Jc5o3LSXcq5O7s6hkYKN8-xE.png	17425	2824	0.068	5758	0.0663	90
icons/piLF2SqpVcyzn0zfD_Z4Ye1z8SrAdpkefV0EtkIk7DpHAGUa9G9UIyYqWCeKolccifE.png	25972	4410	0.071	6691	0.0711	90
icons/xKk6wP9gZ8Ia6PbIERwywtbMX6ugwEtWyAbg5_D4yvN55DYy_heN0SsWIdZTKGYsUHc.png	24111	7610	0.0715	9335	0.072	90
icons/P4v1rZLeMNu2vMgaaYTUuSXLqJkVXk0rZ-ckuMWt1gL3DSTm8HBxcg8DLs7WUAsUS5z4.png	25538	3478	0.0537	5019	0.048	90
icons/HCBxuXW6vI7QduCOJpjPwv1866G1O53e9pDXegGcwVHVttrO8NuwSATEM3ac6W2A4g.png	17440	2512	0.0236	3700	0.0189	90
icons/0qLulUFBRLmAg9yvgu6fQ9j6YCaMlhmqjBgVPA75owXx6I4dzEOfS_k4j4iyojP-OSU.png	17215	2858	0.0549	5950	0.0537	90
icons/tcUqyZ9I21Cst-_lH8-KDtGxm7grnDPQg_ZwrBesxCOUAG89fKdwKpIFFzeHhq7V_C5E.png	23310	5358	0.0249	14231	0.3843	99
icons/QzRxJgYpeBCTNFjjp1t169XgPaFmLSoDOKN_3TdBqsFuFAFXGvHzfmNoGdi3Nl8KEh8.png	8672	2170	0.0354	6191	0.0324	95
icons/ISAPRicxmfo7JRxvVKNQjECYEPxA6VoCxlvcr0tP8PVVpS0A6a4DXyY0AHpLKzgbFwJO.png	17825	2220	0.1014	5155	0.0924	90
icons/9E-x8qgyAPMuqJey4jCjqJ0CIvi8BiWsFeIDyJCD5LKVQ6F5VDtShT6GJwUZyQhRYHY.png	24739	4888	0.0862	6568	0.0961	85
icons/slBd4Uj7ujbA0D7e2wvfde0ka_Twc0i3abHePREZs68ZffctHFzL2mi-VN6pTN6R0w.png	26249	6272	0.1497	9857	0.1492	85
icons/FG1NIqxjlSCHgEQHWoIMnhWjePqaJvtu0e2ONI3KjCrsjN-YyerRBevRKxiNQlOxFgA.png	10616	2340	0.0287	4894	0.0288	90
icons/EDLRz1vgTQkxxxP7B_ckb3d4_Om2h3xUhb38M13-tjiQ4o-grOFrYEVL_Mpq7ZrfRuA.png	32413	3192	0.0974	5052	0.091	82
icons/L3zjx7Fh600sokUkmhPbzFwI2JtiFXyrxfOsClY_GrlmFLv0hSk5aR--HKBMyJPfWxPt.png	23275	4960	0.0781	6771	0.0754	90
icons/Dmjpx6fA85BJG-IGZ1xjAZKPcE13htHmIBdKiYXDnjkVLSWrKkZ8FFd-HbIK8lXDg625.png	26140	4376	0.0858	6143	0.0905	87
icons/C6KueUQv9dgQJG0ukEDBeFIdKBEFN7ZFE0yKCk9YIGX5tt5_sI0u12jxD_9bcVX62G8.png	28370	4906	0.1872	7711	0.1856	85
icons/X-nd5qTkoyvB_KWeqISCK5JyRAntV6zkjuqF5gGfBxbd8JPtkuoc0_DpsWblTqJKn-8.png	12940	3584	0.0362	5656	0.0443	90
icons/lOxciBS0RRmjYXM4t28CCdKqMLrT15auPWBtLhdBYzTAj3micKUMgf2UItzlAwgfAiw.png	29588	3060	0.1381	5193	0.1301	85
icons/SJ4KMC6MQ9FxSqWkiCxUhUvEpCe4TgN7R04i3z2dwyXbQrxjuOUf4GaA3q_qaNslMAo.png	8438	1786	0.0431	4065	0.0362	90
icons/y6wU5PPpIZHVRskC8AMPP2u3pxHuv360EVZWdNi1ovsAbiOkr8gHrD9azIUQU0hZIn2d.png	7611	2606	0.0729	6455	0.0821	90
icons/ztyiQOWX3h7ilqdaVxdIWpxNnkE3aGWAc3BJ--k1DH3WWS0_ltZTXGHP4VSiAHpCoA.png	12155	2364	0.0491	4293	0.0555	90
icons/mEoOT7vJQbpf4MB-w0aUeSX9IvifYuCzn258exA4RpKdaKGTJgGKBVc_nuKEd9pe_4kK.png	14979	3840	0.0735	7927	0.0714	95
icons/wuDXV4UsoQZI-rxEYyheOl7Sozexlw9Dg1GFdjt5gAtlJCod3r4o6OYZ53RRMPlg3DPE.png	23720	3522	0.1101	5805	0.1131	85
icons/yoNUOJicajeaGqXYpGtwQf-O91eWdfIpINIRzEhYW_x0oqpmh8w0bgjev1Fs1TZmQ94.png	5370	794	0.0236	2549	0.0217	90
icons/Mx6B6agiQ9IV8ZycoAl6pvIOfWlPMN4ejkf8xCpJHN-DIfyFyUs3NMJuX1mkq8wnius.png	12669	2878	0.0685	5080	0.0701	90
